total_all,state,id,country,total,total_dg,dg_off,dg_oversea,dg_ch,total_ndg,ndg_exch,ndg_short,ndg_lang,ndg_ch,ndg_youth,spec
"110,182",,,,,,,,,,,,,,,
"95,170",亞洲,,,,,,,,,,,,,,
,,156,中國大陸,"41,951","7,813",0,0,"7,813","34,138",0,0,24,"34,114",0,0
,,548,馬來西亞,"14,946","11,534","4,465","7,069",0,"3,412",35,839,247,0,"2,291",112
,,344,香港,"8,260","7,340",0,"7,340",0,920,193,220,507,0,0,0
,,392,日本,"6,319",966,791,175,0,"5,353",494,"1,423","3,436",0,0,0
,,446,澳門,"5,144","5,013",0,"5,013",0,131,10,3,118,0,0,0
,,360,印尼,"4,394","2,725","1,623","1,102",0,"1,669",35,134,"1,442",0,58,0
,,704,越南,"4,043","2,895","2,586",309,0,"1,148",11,41,"1,096",0,0,373
,,410,南韓,"3,820",792,596,196,0,"3,028",708,248,"2,070",0,2,0
,,764,泰國,"1,481",768,506,262,0,713,108,150,455,0,0,0
,,356,印度,"1,143",804,803,1,0,339,26,85,228,0,0,0
,,496,蒙古,823,607,607,0,0,216,21,3,192,0,0,0
,,702,新加坡,747,190,101,89,0,557,107,340,110,0,0,7
,,104,緬甸,579,467,9,458,0,112,1,2,71,0,38,0
,,608,菲律賓,533,174,139,35,0,359,18,85,256,0,0,0
,,643,俄羅斯,397,147,146,1,0,250,32,13,205,0,0,0
,,792,土耳其,150,56,56,0,0,94,9,2,83,0,0,0
,,400,約旦,72,35,30,5,0,37,0,0,37,0,0,0
,,364,伊朗,62,47,47,0,0,15,0,2,13,0,0,0
,,524,尼泊爾,54,34,34,0,0,20,0,8,12,0,0,0
,,376,以色列,41,13,13,0,0,28,0,5,23,0,0,0
,,586,巴基斯坦,39,36,35,1,0,3,0,2,1,0,0,0
,,96,汶萊,25,18,5,13,0,7,0,2,0,0,5,0
,,144,斯里蘭卡,18,17,16,1,0,1,0,0,1,0,0,0
,,368,伊拉克,17,10,10,0,0,7,0,1,6,0,0,0
,,50,孟加拉,15,15,14,1,0,0,0,0,0,0,0,0
,,64,不丹,15,1,1,0,0,14,0,0,14,0,0,0
,,398,哈薩克,15,7,7,0,0,8,0,5,3,0,0,0
,,860,烏茲別克,10,3,3,0,0,7,0,0,7,0,0,0
,,762,塔吉克,8,6,6,0,0,2,0,0,2,0,0,0
,,887,葉門,7,4,1,3,0,3,0,1,2,0,0,0
,,417,吉爾吉斯,6,6,6,0,0,0,0,0,0,0,0,0
,,784,阿拉伯聯合大公國,5,2,0,2,0,3,0,1,2,0,0,0
,,116,柬埔寨,4,3,2,1,0,1,0,1,0,0,0,0
,,418,寮國,4,4,2,2,0,0,0,0,0,0,0,0
,,682,沙烏地阿拉伯,4,4,2,2,0,0,0,0,0,0,0,0
,,422,黎巴嫩,3,2,1,1,0,1,0,0,1,0,0,0
,,760,敘利亞,3,1,1,0,0,2,0,0,2,0,0,0
,,51,亞美尼亞,3,0,0,0,0,3,0,0,3,0,0,0
,,48,巴林,2,2,1,1,0,0,0,0,0,0,0,0
,,414,科威特,2,1,0,1,0,1,0,0,1,0,0,0
,,275,巴勒斯坦,2,0,0,0,0,2,0,0,2,0,0,0
,,795,土庫曼,2,2,2,0,0,0,0,0,0,0,0,0
,,31,亞塞拜然,1,0,0,0,0,1,0,0,1,0,0,0
,,498,摩爾多瓦,1,1,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
863,大洋洲,,,,,,,,,,,,,,
,,36,澳大利亞,407,31,16,15,0,376,34,48,294,0,0,0
,,90,索羅門群島,114,64,64,0,0,50,0,0,50,0,0,0
,,554,紐西蘭,103,31,6,25,0,72,1,5,66,0,0,0
,,296,吉里巴斯,71,42,42,0,0,29,0,0,29,0,0,0
,,584,馬紹爾群島共和國,53,20,20,0,0,33,0,0,33,0,0,0
,,798,吐瓦魯,47,29,29,0,0,18,0,0,18,0,0,0
,,585,帛琉,40,28,25,3,0,12,0,0,12,0,0,0
,,520,諾魯,21,8,8,0,0,13,0,0,13,0,0,0
,,598,巴布亞紐幾內亞,5,5,3,2,0,0,0,0,0,0,0,0
,,242,斐濟,1,1,0,1,0,0,0,0,0,0,0,0
,,583,密克羅尼西亞,1,1,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
"1,172",非洲,,,,,,,,,,,,,,
,,748,史瓦濟蘭,337,192,191,1,0,145,0,0,145,0,0,0
,,710,南非,193,108,38,70,0,85,0,4,81,0,0,0
,,270,甘比亞,186,139,139,0,0,47,0,1,46,0,0,0
,,854,布吉納法索,138,75,75,0,0,63,0,0,63,0,0,0
,,678,聖多美普林西比,62,40,40,0,0,22,0,0,22,0,0,0
,,231,衣索比亞,60,59,59,0,0,1,0,0,1,0,0,0
,,566,奈及利亞,28,24,24,0,0,4,0,1,3,0,0,0
,,454,馬拉威,26,24,21,3,0,2,0,0,2,0,0,0
,,818,埃及,25,18,17,1,0,7,0,2,5,0,0,0
,,504,摩洛哥,22,1,1,0,0,21,4,10,7,0,0,0
,,404,肯亞,21,19,18,1,0,2,0,0,2,0,0,0
,,120,喀麥隆,7,4,4,0,0,3,1,0,2,0,0,0
,,178,剛果,7,5,5,0,0,2,0,0,2,0,0,0
,,716,辛巴威,7,5,5,0,0,2,0,0,2,0,0,0
,,788,突尼西亞,6,1,1,0,0,5,0,4,1,0,0,0
,,384,象牙海岸,5,4,1,3,0,1,0,0,1,0,0,0
,,834,坦尚尼亞,5,5,5,0,0,0,0,0,0,0,0,0
,,480,模里西斯,4,4,0,4,0,0,0,0,0,0,0,0
,,508,莫三比克,4,3,3,0,0,1,0,0,1,0,0,0
,,72,波札那,3,1,1,0,0,2,0,0,2,0,0,0
,,729,蘇丹,3,2,2,0,0,1,0,0,1,0,0,0
,,768,多哥,3,1,1,0,0,2,0,0,2,0,0,0
,,204,貝南,2,1,1,0,0,1,0,0,1,0,0,0
,,148,查德,2,0,0,0,0,2,0,0,2,0,0,0
,,288,迦納,2,1,1,0,0,1,0,1,0,0,0,0
,,686,塞內加爾,2,1,1,0,0,1,0,1,0,0,0,0
,,694,獅子山共和國,2,1,1,0,0,1,0,0,1,0,0,0
,,800,烏干達,2,1,1,0,0,1,0,0,1,0,0,0
,,894,尚比亞,2,0,0,0,0,2,0,0,2,0,0,0
,,516,納米比亞,2,1,0,1,0,1,0,0,1,0,0,0
,,430,賴比瑞亞,1,1,1,0,0,0,0,0,0,0,0,0
,,434,利比亞,1,1,1,0,0,0,0,0,0,0,0,0
,,646,盧安達,1,1,1,0,0,0,0,0,0,0,0,0
,,706,索馬利亞民主共和國,1,0,0,0,0,1,0,0,1,0,0,0
,,,,,,,,,,,,,,,
"5,833",歐洲,,,,,,,,,,,,,,
,,250,法國,"1,545",111,108,3,0,"1,434",505,100,829,0,0,0
,,276,德國,"1,018",89,86,3,0,929,350,142,437,0,0,0
,,826,英國,422,59,55,4,0,363,13,37,313,0,0,0
,,528,荷蘭,349,19,18,1,0,330,154,33,143,0,0,0
,,724,西班牙,323,39,37,2,0,284,73,15,196,0,0,0
,,380,義大利,269,25,24,1,0,244,78,12,154,0,0,0
,,203,捷克,244,33,33,0,0,211,84,35,92,0,0,0
,,752,瑞典,223,14,12,2,0,209,103,8,98,0,0,0
,,626,波蘭,208,43,43,0,0,165,25,65,75,0,0,0
,,40,奧地利,172,33,33,0,0,139,34,16,89,0,0,0
,,756,瑞士,162,14,13,1,0,148,29,8,111,0,0,0
,,56,比利時,151,7,6,1,0,144,58,9,77,0,0,0
,,642,羅馬尼亞,98,4,4,0,0,94,2,0,92,0,0,0
,,246,芬蘭,97,8,8,0,0,89,49,4,36,0,0,0
,,804,烏克蘭,80,38,38,0,0,42,3,2,37,0,0,0
,,348,匈牙利,73,28,27,1,0,45,1,5,39,0,0,0
,,208,丹麥,62,7,7,0,0,55,29,5,21,0,0,0
,,372,愛爾蘭,54,5,5,0,0,49,8,0,41,0,0,0
,,703,斯洛伐克,51,15,15,0,0,36,7,5,24,0,0,0
,,578,挪威,42,3,3,0,0,39,15,1,23,0,0,0
,,620,葡萄牙,33,6,6,0,0,27,4,2,21,0,0,0
,,440,立陶宛,30,5,5,0,0,25,10,0,15,0,0,0
,,191,克羅埃西亞,21,8,8,0,0,13,2,2,9,0,0,0
,,100,保加利亞,20,4,4,0,0,16,3,3,10,0,0,0
,,705,斯洛維尼亞,17,4,4,0,0,13,0,7,6,0,0,0
,,112,白俄羅斯,16,10,10,0,0,6,2,0,4,0,0,0
,,428,拉脫維亞,11,4,4,0,0,7,0,0,7,0,0,0
,,300,希臘,8,3,3,0,0,5,0,0,5,0,0,0
,,442,盧森堡,8,1,1,0,0,7,0,3,4,0,0,0
,,233,愛沙尼亞,8,4,4,0,0,4,0,0,4,0,0,0
,,688,塞爾維亞共和國,7,1,1,0,0,6,0,1,5,0,0,0
,,70,波士尼亞與赫塞哥維納,3,3,3,0,0,0,0,0,0,0,0,0
,,352,冰島,2,0,0,0,0,2,0,0,2,0,0,0
,,470,馬爾他,2,0,0,0,0,2,0,0,2,0,0,0
,,807,馬其頓,2,2,2,0,0,0,0,0,0,0,0,0
,,492,摩納哥,1,0,0,0,0,1,0,0,1,0,0,0
,,2,科索沃共和國,1,1,1,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
"7,144",美洲,,,,,,,,,,,,,,
,,840,美國,"3,806",692,433,259,0,"3,114",182,467,"2,462",0,3,0
,,124,加拿大,731,270,82,188,0,461,57,46,358,0,0,0
,,340,宏都拉斯,267,161,159,2,0,106,0,13,93,0,0,0
,,76,巴西,218,57,17,40,0,161,7,5,149,0,0,0
,,484,墨西哥,205,53,42,11,0,152,3,6,143,0,0,0
,,591,巴拿馬,188,98,94,4,0,90,0,0,90,0,0,0
,,84,貝里斯,184,130,105,25,0,54,0,0,52,0,2,0
,,600,巴拉圭,174,111,73,38,0,63,0,0,63,0,0,0
,,558,尼加拉瓜,170,108,96,12,0,62,0,0,62,0,0,0
,,222,薩爾瓦多,158,101,95,6,0,57,0,0,57,0,0,0
,,320,瓜地馬拉,150,78,70,8,0,72,0,3,69,0,0,0
,,662,聖露西亞,119,62,62,0,0,57,0,0,57,0,0,0
,,332,海地,111,69,69,0,0,42,1,0,41,0,0,0
,,214,多明尼加,109,52,30,22,0,57,0,0,57,0,0,0
,,670,聖文森,97,44,44,0,0,53,0,0,53,0,0,0
,,32,阿根廷,85,31,7,24,0,54,0,2,52,0,0,0
,,218,厄瓜多,77,47,31,16,0,30,1,0,29,0,0,0
,,604,秘魯,70,30,24,6,0,40,0,0,40,0,0,0
,,170,哥倫比亞,64,26,26,0,0,38,2,0,36,0,0,0
,,659,聖克里斯多福,60,38,38,0,0,22,0,0,22,0,0,0
,,152,智利,36,16,9,7,0,20,1,0,19,0,0,0
,,188,哥斯大黎加,22,13,3,10,0,9,0,0,9,0,0,0
,,862,委內瑞拉,18,8,4,4,0,10,0,0,10,0,0,0
,,68,玻利維亞,13,6,4,2,0,7,0,1,6,0,0,0
,,858,烏拉圭,3,1,1,0,0,2,0,0,2,0,0,0
,,52,巴貝多,2,2,2,0,0,0,0,0,0,0,0,0
,,192,古巴,2,0,0,0,0,2,0,1,1,0,0,0
,,212,多米尼克,2,1,0,1,0,1,0,0,1,0,0,0
,,44,巴哈馬,1,0,0,0,0,1,0,1,0,0,0,0
,,388,牙買加,1,0,0,0,0,1,0,0,1,0,0,0
,,780,千里達,1,0,0,0,0,1,0,0,1,0,0,0
